route_id,route_no,route_type,n_stops,length_km,detour
USB196000486,413(울산역 출발),일반버스,33,14.31,1.3
USB196000487,413((울산역 종료)석남사 출발),일반버스,31,13.15,1.19
USB196000504,413(구언양버스터미널 출발),일반버스,49,23.17,1.81
USB196000540,울주04(42만세운동(본노선)상북면주민센터),지선버스,37,10.99,2.7
USB196000555,울주13,지선버스,49,19.46,2.93
USB196000556,울주13(자수정동굴나라 경유),지선버스,54,22.41,3.15
USB196000557,울주86(태기 출발),마을버스,6,3.92,1.12
USB196000558,울주86(구언양버스터미널 출발),마을버스,6,3.96,5.27
USB196000559,울주86(지곡 출발),마을버스,12,10.49,1.63
USB196000675,373(길천공단 경유),일반버스,30,12.12,1.42
USB196000692,울주64,마을버스,33,11.66,1.39
USB196000712,울주05(구치소>율리>구치소),지선버스,24,10.38,1.29
USB196000715,314,일반버스,59,30.37,1.73
USB196000716,314,일반버스,61,29.52,1.67
USB196000717,492,일반버스,65,37.15,1.96
USB196000718,492,일반버스,65,37.21,1.95
USB196000719,1413,좌석버스,38,24.31,2.03
USB196000749,반구천,순환버스,3,1.56,1.35
USB196900465,순환31,일반버스,30,15.88,1.27
USB196900466,순환32,일반버스,31,15.14,1.27
USB196900710,318,일반버스,82,38.59,1.74
USB196900711,318,일반버스,84,39.11,1.72
